ID,Amount
10036780,2741.916667
10034856,2401.75
10032047,3173.083333
10032038,2555.583333
10040067,2717
10019431,1911
10012311,2936.916667
10012373,2401.75
10016059,2936.916667
10019374,2315.083333
10013441,2936.916667
10012729,2401.75
10018754,2401.75
10035472,2644.416667
10034304,2644.416667
10035751,2644.416667
10018368,2644.416667
10013874,2644.416667
10017469,2644.416667
10036353,2401.75
10030840,3289
10037433,2315.083333
10030784,2401.75
10018879,2936.916667
10030849,2401.75
10037599,2836.166667
10030877,2936.916667
10030829,2401.75
10036483,2315.083333
10034523,2644.416667
10038240,3173.083333
10017128,2936.916667
10015495,3289
10015436,3289
10035234,2401.75
10035234,2401.75
10019436,2315.083333
10030834,2401.75
10013912,2401.75
10012567,2936.916667
10010947,2836.166667
10033190,2644.416667
10034304,2644.416667
10013088,2644.416667
10012004,2401.75
10034872,2644.416667
10018500,3631.333333
10010305,2936.916667
10013747,3289
10031471,2401.75
10015135,2644.416667
10010012,2644.416667
10034729,2644.416667
10034717,2741.916667
10013999,2936.916667
10035473,2315.083333
10015014,2644.416667
10015085,3289
10033516,3173.083333
10030562,3173.083333
10034514,2836.166667
10035805,2836.166667
10033300,3173.083333
10035453,2401.75
10016735,2644.416667
10034865,2401.75
10034808,2315.083333
10010574,3289
10036286,2401.75
10035700,2315.083333
10037961,2315.083333
10017507,2644.416667
10012401,3173.083333
10032673,3289
10037898,3173.083333
10030265,3173.083333
10032039,2644.416667
10030217,3173.083333
10031829,2644.416667
10039335,2143.5
10018461,2252.041667
10034559,2518
10039338,2390.291667
10035697,2390.291667
10040123,2450.416667
10040478,2511.791667
10040062,2511.791667
10036023,2574.583333
10039892,2574.583333
10039860,2741.541667
10034917,2817.625
10038453,2817.625
10040272,2755.5
10036639,2755.5
10040151,2825.75
10034915,2825.75
10035971,2825.75
10035217,2825.75
10039851,2825.75
10039044,2825.75
10040725,2896.125
10039613,2896.125
10039770,2896.125
10039004,2896.125
10030378,2896.125
10040319,2896.125
10040345,2967.666667
10038045,2967.666667
10039092,2967.666667
10039308,2967.666667
10038062,3042.916667
10037184,3042.916667
10013156,3042.916667
10039488,3042.916667
10030754,3439.5
10038078,3439.5
10038732,3588.541667
10038081,3588.541667
10036675,3588.541667
10038498,3588.541667
10039293,3588.541667
10037671,3588.541667
10037263,3588.541667
10036147,3588.541667
10040466,3200.291667
10040399,3200.291667
10037591,3200.291667
10039562,3200.291667
10040451,3200.291667
10040403,3200.291667
10040168,3280.541667
10036498,3280.541667
10016137,3280.541667
10036858,3280.541667
10040452,3280.541667
10039339,3280.541667
10040416,3280.541667
10040622,3280.541667
10039259,3361.041667
10040007,3361.041667
10039946,3361.041667
10039628,3361.041667
10030751,3361.041667
10037677,3361.041667
10013910,3361.041667
10034482,3446.291667
10039249,3446.291667
10039015,3446.291667
10036417,3446.291667
10039960,3446.291667
10039640,3446.291667
10035747,3775.333333
10019229,3775.333333
10035498,3775.333333
10038557,3775.333333
10037337,3775.333333
10039192,3775.333333
10039922,3775.333333
10038882,4128.375
10037335,4128.375
